#1
double data_DC(672, 3)    #
0,0,0.0
1,1,0.0
2,2,0.0
3,3,0.0
4,4,0.0
5,5,0.0
6,6,0.0
7,7,0.0
8,8,0.0
9,9,0.0
10,10,0.0
11,11,0.0
12,12,0.0
13,13,0.0
14,14,0.0
15,15,0.0
16,16,0.0
17,17,0.0
18,18,0.0
19,19,0.0
20,20,0.0
21,21,0.0
22,22,0.0
23,23,0.0
24,24,0.0
25,25,0.0
26,26,0.0
27,27,0.0
28,28,0.0
29,29,0.0
30,30,0.0
31,31,0.0
32,32,0.0
33,33,0.0
34,34,0.0
35,35,0.0
36,36,0.0
37,37,0.0
38,38,0.0
39,39,0.0
40,40,0.0
41,41,0.0
42,42,0.0
43,43,0.0
44,44,0.0
45,45,0.0
46,46,0.0
47,47,0.0
48,48,0.0
49,49,0.0
50,50,0.0
51,51,0.0
52,52,0.0
53,53,0.0
54,54,0.0
55,55,0.0
56,56,0.0
57,57,0.0
58,58,0.0
59,59,0.0
60,60,0.0
61,61,0.0
62,62,0.0
63,63,0.0
64,64,0.0
65,65,0.0
66,66,0.0
67,67,0.0
68,68,0.0
69,69,0.0
70,70,0.0
71,71,0.0
72,72,0.0
73,73,0.0
74,74,0.0
75,75,0.0
76,76,0.0
77,77,0.0
78,78,0.0
79,79,0.0
80,80,0.0
81,81,0.0
82,82,0.0
83,83,0.0
84,84,0.0
85,85,0.0
86,86,0.0
87,87,0.0
88,88,0.0
89,89,0.0
90,90,0.0
91,91,0.0
92,92,0.0
93,93,0.25
94,94,0.25
95,95,0.25
96,96,0.25
97,97,0.25
98,98,0.25
99,99,0.25
100,100,0.25
101,101,0.25
102,102,0.25
103,103,0.25
104,104,0.25
105,105,0.25
106,106,0.25
107,107,0.25
108,108,0.25
109,109,0.25
110,110,0.25
111,111,0.25
112,112,0.25
113,113,0.25
114,114,0.25
115,115,0.25
116,116,0.25
117,117,0.25
118,118,0.25
119,119,0.25
120,120,0.25
121,121,0.25
122,122,0.25
123,123,0.25
124,124,0.25
125,125,0.25
126,126,0.25
127,127,0.25
128,128,0.25
129,129,0.25
130,130,0.25
131,131,0.25
132,132,0.25
133,133,0.25
134,134,0.25
135,135,0.25
136,136,0.25
137,137,0.25
138,138,0.25
139,139,0.25
140,140,0.25
141,141,0.25
142,142,0.25
143,143,0.25
144,144,0.25
145,145,0.25
146,146,0.25
147,147,0.25
148,148,0.25
149,149,0.25
150,150,0.25
151,151,0.25
152,152,0.25
153,153,0.25
154,154,0.25
155,155,0.25
156,156,0.25
157,157,0.25
158,158,0.25
159,159,0.25
160,160,0.25
161,161,0.25
162,162,0.25
163,163,0.25
164,164,0.25
165,165,0.25
166,166,0.25
167,167,0.25
168,168,0.25
169,169,0.25
170,170,0.25
171,171,0.25
172,172,0.25
173,173,0.25
174,174,0.25
175,175,0.25
176,176,0.25
177,177,0.25
178,178,0.25
179,179,0.25
180,180,0.25
181,181,0.25
182,182,0.25
183,183,0.25
184,184,0.25
185,185,0.25
186,186,0.25
187,187,0.25
188,188,0.25
189,189,0.25
190,190,0.25
191,191,0.25
192,192,0.25
193,193,0.25
194,194,0.25
195,195,0.25
196,196,0.25
197,197,0.25
198,198,0.25
199,199,0.25
200,200,0.25
201,201,0.25
202,202,0.25
203,203,0.25
204,204,0.25
205,205,0.25
206,206,0.25
207,207,0.25
208,208,0.25
209,209,0.25
210,210,0.25
211,211,0.25
212,212,0.25
213,213,0.25
214,214,0.25
215,215,0.25
216,216,0.25
217,217,0.25
218,218,0.25
219,219,0.25
220,220,0.25
221,221,0.25
222,222,0.25
223,223,0.25
224,224,0.25
225,225,0.25
226,226,0.25
227,227,0.25
228,228,0.25
229,229,0.25
230,230,0.25
231,231,0.25
232,232,0.25
233,233,0.25
234,234,0.25
235,235,0.25
236,236,0.25
237,237,0.25
238,238,0.25
239,239,0.25
240,240,0.25
241,241,0.25
242,242,0.25
243,243,0.25
244,244,0.25
245,245,0.25
246,246,0.25
247,247,0.25
248,248,0.25
249,249,0.25
250,250,0.25
251,251,0.25
252,252,0.25
253,253,0.25
254,254,0.25
255,255,0.25
256,256,0.25
257,257,0.25
258,258,0.25
259,259,0.25
260,260,0.25
261,261,0.25
262,262,0.25
263,263,0.25
264,264,0.25
265,265,0.25
266,266,0.25
267,267,0.25
268,268,0.25
269,269,0.25
270,270,0.25
271,271,0.25
272,272,0.25
273,273,0.25
274,274,0.25
275,275,0.25
276,276,0.25
277,277,0.25
278,278,0.25
279,279,0.25
280,280,0.25
281,281,0.25
282,282,0.25
283,283,0.25
284,284,0.25
285,285,0.25
286,286,0.25
287,287,0.25
288,288,0.25
289,289,0.25
290,290,0.25
291,291,0.25
292,292,0.25
293,293,0.25
294,294,0.25
295,295,0.25
296,296,0.25
297,297,0.25
298,298,0.25
299,299,0.25
300,300,0.25
301,301,0.25
302,302,0.25
303,303,0.25
304,304,0.25
305,305,0.25
306,306,0.25
307,307,0.25
308,308,0.25
309,309,0.25
310,310,0.25
311,311,0.25
312,312,0.25
313,313,0.25
314,314,0.25
315,315,0.25
316,316,0.25
317,317,0.25
318,318,0.25
319,319,0.25
320,320,0.25
321,321,0.25
322,322,0.25
323,323,0.25
324,324,0.25
325,325,0.25
326,326,0.25
327,327,0.25
328,328,0.25
329,329,0.25
330,330,0.25
331,331,0.25
332,332,0.25
333,333,0.25
334,334,0.25
335,335,0.25
336,336,0.25
337,337,0.25
338,338,0.25
339,339,0.25
340,340,0.25
341,341,0.25
342,342,0.25
343,343,0.25
344,344,0.25
345,345,0.25
346,346,0.25
347,347,0.25
348,348,0.25
349,349,0.25
350,350,0.25
351,351,0.25
352,352,0.25
353,353,0.25
354,354,0.25
355,355,0.25
356,356,0.25
357,357,0.25
358,358,0.25
359,359,0.25
360,360,0.25
361,361,0.25
362,362,0.25
363,363,0.25
364,364,0.25
365,365,0.25
366,366,0.25
367,367,0.25
368,368,0.25
369,369,0.25
370,370,0.25
371,371,0.25
372,372,0.25
373,373,0.25
374,374,0.25
375,375,0.25
376,376,0.25
377,377,0.25
378,378,0.25
379,379,0.25
380,380,0.25
381,381,0.25
382,382,0.25
383,383,0.25
384,384,0.25
385,385,0.25
386,386,0.25
387,387,0.25
388,388,0.25
389,389,0.25
390,390,0.25
391,391,0.25
392,392,0.25
393,393,0.25
394,394,0.25
395,395,0.25
396,396,0.25
397,397,0.25
398,398,0.25
399,399,0.25
400,400,0.25
401,401,0.25
402,402,0.25
403,403,0.25
404,404,0.25
405,405,0.25
406,406,0.25
407,407,0.25
408,408,0.25
409,409,0.25
410,410,0.25
411,411,0.25
412,412,0.25
413,413,0.25
414,414,0.25
415,415,0.25
416,416,0.25
417,417,0.25
418,418,0.25
419,419,0.25
420,420,0.25
421,421,0.25
422,422,0.25
423,423,0.25
424,424,0.25
425,425,0.25
426,426,0.25
427,427,0.25
428,428,0.25
429,429,0.25
430,430,0.25
431,431,0.25
432,432,0.25
433,433,0.25
434,434,0.25
435,435,0.25
436,436,0.25
437,437,0.25
438,438,0.25
439,439,0.25
440,440,0.25
441,441,0.25
442,442,0.25
443,443,0.25
444,444,0.25
445,445,0.25
446,446,0.25
447,447,0.25
448,448,0.25
449,449,0.25
450,450,0.25
451,451,0.25
452,452,0.25
453,453,0.25
454,454,0.25
455,455,0.25
456,456,0.25
457,457,0.25
458,458,0.25
459,459,0.25
460,460,0.25
461,461,0.25
462,462,0.25
463,463,0.25
464,464,0.25
465,465,0.25
466,466,0.25
467,467,0.25
468,468,0.25
469,469,0.25
470,470,0.25
471,471,0.25
472,472,0.25
473,473,0.25
474,474,0.25
475,475,0.25
476,476,0.25
477,477,0.25
478,478,0.25
479,479,0.25
480,480,0.25
481,481,0.25
482,482,0.25
483,483,0.25
484,484,0.25
485,485,0.25
486,486,0.25
487,487,0.25
488,488,0.25
489,489,0.25
490,490,0.25
491,491,0.25
492,492,0.25
493,493,0.25
494,494,0.25
495,495,0.25
496,496,0.25
497,497,0.25
498,498,0.25
499,499,0.25
500,500,0.25
501,501,0.25
502,502,0.25
503,503,0.25
504,504,0.25
505,505,0.25
506,506,0.25
507,507,0.25
508,508,0.25
509,509,0.25
510,510,0.25
511,511,0.25
512,512,0.25
513,513,0.25
514,514,0.25
515,515,0.25
516,516,0.25
517,517,0.25
518,518,0.25
519,519,0.25
520,520,0.25
521,521,0.25
522,522,0.25
523,523,0.25
524,524,0.25
525,525,0.25
526,526,0.25
527,527,0.25
528,528,0.25
529,529,0.25
530,530,0.25
531,531,0.25
532,532,0.25
533,533,0.25
534,534,0.25
535,535,0.25
536,536,0.25
537,537,0.25
538,538,0.25
539,539,0.25
540,540,0.25
541,541,0.25
542,542,0.25
543,543,0.25
544,544,0.25
545,545,0.25
546,546,0.25
547,547,0.25
548,548,0.25
549,549,0.25
550,550,0.25
551,551,0.25
552,552,0.25
553,553,0.25
554,554,0.25
555,555,0.25
556,556,0.25
557,557,0.25
558,558,0.25
559,559,0.25
560,560,0.25
561,561,0.25
562,562,0.25
563,563,0.25
564,564,0.25
565,565,0.25
566,566,0.25
567,567,0.25
568,568,0.25
569,569,0.25
570,570,0.25
571,571,0.25
572,572,0.25
573,573,0.25
574,574,0.25
575,575,0.25
576,576,0.25
577,577,0.25
578,578,0.25
579,579,0.25
580,580,0.25
581,581,0.25
582,582,0.25
583,583,0.25
584,584,0.25
585,585,0.25
586,586,0.25
587,587,0.25
588,588,0.25
589,589,0.25
590,590,0.25
591,591,0.25
592,592,0.25
593,593,0.25
594,594,0.25
595,595,0.25
596,596,0.25
597,597,0.25
598,598,0.25
599,599,0.25
600,600,0.25
601,601,0.25
602,602,0.25
603,603,0.25
604,604,0.25
605,605,0.25
606,606,0.25
607,607,0.25
608,608,0.25
609,609,0.25
610,610,0.25
611,611,0.25
612,612,0.25
613,613,0.25
614,614,0.25
615,615,0.25
616,616,0.25
617,617,0.25
618,618,0.25
619,619,0.25
620,620,0.25
621,621,0.25
622,622,0.25
623,623,0.25
624,624,0.25
625,625,0.25
626,626,0.25
627,627,0.25
628,628,0.25
629,629,0.25
630,630,0.25
631,631,0.25
632,632,0.25
633,633,0.25
634,634,0.25
635,635,0.25
636,636,0.25
637,637,0.25
638,638,0.25
639,639,0.25
640,640,0.25
641,641,0.25
642,642,0.25
643,643,0.25
644,644,0.25
645,645,0.25
646,646,0.25
647,647,0.25
648,648,0.25
649,649,0.25
650,650,0.25
651,651,0.25
652,652,0.25
653,653,0.25
654,654,0.25
655,655,0.25
656,656,0.25
657,657,0.25
658,658,0.25
659,659,0.25
660,660,0.25
661,661,0.25
662,662,0.25
663,663,0.25
664,664,0.25
665,665,0.25
666,666,0.25
667,667,0.25
668,668,0.25
669,669,0.25
670,670,0.25
671,671,0.25
