id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final,f2_type,f2_start,f2_stop,f2_init,f2_final
BoilerNoise-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0.0
BoilerNoise-bc01-s2-026,1,0,0,0,0,0.0,2,48,672,0,0.215971409
BoilerNoise-bc01-s2-032,1,0,0,0,0,0.0,1,130,672,0,0.194149674
BoilerNoise-bc01-s2-025,1,0,0,0,0,0.0,1,5,672,0,0.303209956
BoilerNoise-bc01-s2-042,1,0,0,0,0,0.0,2,101,672,0,0.058890433
BoilerNoise-bc01-s2-076,1,0,0,0,0,0.0,1,145,672,0,0.113024391
BoilerNoise-bc01-s2-060,1,0,0,0,0,0.0,2,68,672,0,0.321513519
BoilerNoise-bc01-s2-079,1,0,0,0,0,0.0,1,252,672,0,0.153202971
BoilerNoise-bc01-s2-088,1,0,0,0,0,0.0,1,204,672,0,0.015553826
BoilerNoise-bc01-s2-020,1,0,0,0,0,0.0,2,245,672,0,0.084481311
BoilerNoise-bc01-s2-033,1,0,0,0,0,0.0,2,263,672,0,0.043149115
BoilerNoise-bc01-s2-074,1,0,0,0,0,0.0,1,183,672,0,0.167712312
BoilerNoise-bc01-s2-003,1,0,0,0,0,0.0,1,307,672,0,0.313018389
BoilerNoise-bc01-s2-087,1,0,0,0,0,0.0,1,496,672,0,0.485736131
BoilerNoise-bc01-s2-021,1,0,0,0,0,0.0,2,470,672,0,0.097800242
BoilerNoise-bc01-s2-012,1,0,0,0,0,0.0,2,427,672,0,0.190919258
BoilerNoise-bc01-s2-097,1,0,0,0,0,0.0,2,426,672,0,0.280831374
BoilerNoise-bc01-s2-004,1,0,0,0,0,0.0,1,407,672,0,0.019020778
BoilerNoise-bc01-s2-084,1,0,0,0,0,0.0,1,354,672,0,0.129127708
BoilerNoise-bc01-s2-082,1,0,0,0,0,0.0,2,587,672,0,0.381009328
BoilerNoise-bc01-s2-028,1,0,0,0,0,0.0,1,654,672,0,0.014060743
BoilerNoise-bc01-s2-094,1,0,0,0,0,0.0,1,532,672,0,0.156979944
BoilerNoise-bc01-s2-017,1,0,0,0,0,0.0,1,542,672,0,0.195313422
BoilerNoise-bc01-s2-061,1,0,0,0,0,0.0,1,637,672,0,0.081509272
BoilerNoise-bc01-s2-005,1,0,0,0,0,0.0,2,670,672,0,0.468049188
BoilerNoise-bc02-s0-000,2,0,0,0,0,0.0,0,0,0,0,0.0
BoilerNoise-bc02-s2-086,2,0,0,0,0,0.0,2,121,672,0,0.080413866
BoilerNoise-bc02-s2-083,2,0,0,0,0,0.0,1,116,672,0,0.806109652
BoilerNoise-bc02-s2-010,2,0,0,0,0,0.0,2,45,672,0,0.152473481
BoilerNoise-bc02-s2-028,2,0,0,0,0,0.0,1,145,672,0,0.021604545
BoilerNoise-bc02-s2-008,2,0,0,0,0,0.0,1,3,672,0,0.207916598
BoilerNoise-bc02-s2-055,2,0,0,0,0,0.0,2,150,672,0,0.221960275
BoilerNoise-bc02-s2-079,2,0,0,0,0,0.0,1,261,672,0,0.149759825
BoilerNoise-bc02-s2-013,2,0,0,0,0,0.0,1,269,672,0,0.372329434
BoilerNoise-bc02-s2-034,2,0,0,0,0,0.0,2,277,672,0,0.207090863
BoilerNoise-bc02-s2-027,2,0,0,0,0,0.0,1,175,672,0,0.461834487
BoilerNoise-bc02-s2-064,2,0,0,0,0,0.0,2,313,672,0,0.528391929
BoilerNoise-bc02-s2-040,2,0,0,0,0,0.0,1,238,672,0,0.039307244
