id;bc;G_f_type;G_f_start;G_f_stop;G_f_init;G_f_final;eta_f_type;eta_f_start;eta_f_stop;eta_f_init;eta_f_final
BoilerNoise-bc0-s0-000;0;0;0;0;0;0;0;0;0;0;0
BoilerNoise-bc0-s1-000;0;2;109;672;0;0.001628623;0;0;0;0;0
BoilerNoise-bc0-s1-001;0;2;559;672;0;0.028241153;0;0;0;0;0
BoilerNoise-bc0-s1-002;0;2;668;672;0;0.528738371;0;0;0;0;0
BoilerNoise-bc0-s1-003;0;1;286;672;0;0.220425133;0;0;0;0;0
BoilerNoise-bc0-s1-004;0;1;540;672;0;0.194514179;0;0;0;0;0
BoilerNoise-bc0-s1-005;0;1;86;672;0;0.085792484;0;0;0;0;0
BoilerNoise-bc0-s1-006;0;2;649;672;0;0.080183489;0;0;0;0;0
BoilerNoise-bc0-s1-007;0;2;296;672;0;0.242844819;0;0;0;0;0
BoilerNoise-bc0-s1-008;0;2;651;672;0;0.137827123;0;0;0;0;0
BoilerNoise-bc0-s1-009;0;1;576;672;0;0.025662446;0;0;0;0;0
BoilerNoise-bc0-s1-010;0;2;39;672;0;0.177629639;0;0;0;0;0
BoilerNoise-bc0-s1-011;0;1;225;672;0;0.304237848;0;0;0;0;0
BoilerNoise-bc0-s1-012;0;2;203;672;0;0.056609643;0;0;0;0;0
BoilerNoise-bc0-s1-013;0;1;11;672;0;0.459560556;0;0;0;0;0
BoilerNoise-bc0-s1-014;0;2;233;672;0;0.005226564;0;0;0;0;0
BoilerNoise-bc0-s1-015;0;2;2;672;0;0.407833317;0;0;0;0;0
BoilerNoise-bc0-s1-016;0;1;169;672;0;0.572174358;0;0;0;0;0
BoilerNoise-bc0-s1-017;0;2;55;672;0;0.24394052;0;0;0;0;0
BoilerNoise-bc0-s1-018;0;2;120;672;0;0.135676448;0;0;0;0;0
BoilerNoise-bc0-s1-019;0;2;257;672;0;0.084415168;0;0;0;0;0
BoilerNoise-bc0-s1-020;0;2;613;672;0;0.064679757;0;0;0;0;0
