id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final
HeatPump-bc00-s0-000,0,0,0,0,0,0.0
HeatPump-bc00-s1-000,0,2,485,672,0,0.16
HeatPump-bc00-s1-001,0,1,502,672,0,0.48
HeatPump-bc00-s1-002,0,1,43,672,0,0.7
HeatPump-bc00-s1-003,0,1,198,672,0,0.35
HeatPump-bc00-s1-004,0,2,71,672,0,0.11
HeatPump-bc00-s1-005,0,2,360,672,0,0.42
HeatPump-bc00-s1-006,0,2,172,672,0,0.07
HeatPump-bc00-s1-007,0,2,341,672,0,0.18
HeatPump-bc00-s1-008,0,1,432,672,0,0.18
HeatPump-bc00-s1-009,0,2,41,672,0,0.12
HeatPump-bc00-s1-010,0,2,93,672,0,0.1
HeatPump-bc00-s1-011,0,1,43,672,0,0.48
HeatPump-bc00-s1-012,0,1,531,672,0,0.38
HeatPump-bc00-s1-013,0,2,237,672,0,0.34
HeatPump-bc00-s1-014,0,1,136,672,0,0.11
HeatPump-bc00-s1-015,0,1,63,672,0,0.02
HeatPump-bc00-s1-016,0,1,521,672,0,0.24
HeatPump-bc00-s1-017,0,1,7,672,0,0.27
HeatPump-bc00-s1-018,0,2,626,672,0,0.28
HeatPump-bc00-s1-019,0,2,116,672,0,0.49
HeatPump-bc00-s1-020,0,2,169,672,0,0.03
HeatPump-bc00-s1-021,0,1,463,672,0,0.84
HeatPump-bc00-s1-022,0,1,392,672,0,0.03
HeatPump-bc00-s1-023,0,1,663,672,0,0.17
HeatPump-bc00-s1-024,0,2,654,672,0,0.17
HeatPump-bc00-s1-025,0,1,192,672,0,0.3
HeatPump-bc00-s1-026,0,1,187,672,0,0.1
HeatPump-bc00-s1-027,0,1,661,672,0,0.36
HeatPump-bc00-s1-028,0,1,352,672,0,0.63
HeatPump-bc00-s1-029,0,2,659,672,0,0.09
HeatPump-bc00-s1-030,0,2,127,672,0,0.05
HeatPump-bc00-s1-031,0,2,257,672,0,0.16
HeatPump-bc00-s1-032,0,1,20,672,0,0.4
HeatPump-bc00-s1-033,0,1,640,672,0,0.15
HeatPump-bc00-s1-034,0,2,109,672,0,0.54
HeatPump-bc00-s1-035,0,1,334,672,0,0.35
HeatPump-bc00-s1-036,0,2,389,672,0,0.53
HeatPump-bc00-s1-037,0,2,624,672,0,0.21
HeatPump-bc00-s1-038,0,1,147,672,0,0.58
HeatPump-bc00-s1-039,0,2,42,672,0,0.24
HeatPump-bc00-s1-040,0,1,270,672,0,0.22
HeatPump-bc00-s1-041,0,2,355,672,0,0.11
HeatPump-bc00-s1-042,0,2,535,672,0,0.04
HeatPump-bc00-s1-043,0,2,230,672,0,0.54
HeatPump-bc00-s1-044,0,1,487,672,0,0.08
HeatPump-bc00-s1-045,0,2,382,672,0,0.03
HeatPump-bc00-s1-046,0,2,247,672,0,0.37
HeatPump-bc00-s1-047,0,2,438,672,0,0.07
HeatPump-bc00-s1-048,0,1,152,672,0,0.57
HeatPump-bc00-s1-049,0,2,430,672,0,0.17
HeatPump-bc00-s1-050,0,1,154,672,0,0.07
HeatPump-bc00-s1-051,0,1,576,672,0,0.14
HeatPump-bc00-s1-052,0,1,302,672,0,0.14
HeatPump-bc00-s1-053,0,2,470,672,0,0.46
HeatPump-bc00-s1-054,0,1,305,672,0,0.18
HeatPump-bc00-s1-055,0,1,1,672,0,0.17
HeatPump-bc00-s1-056,0,1,212,672,0,0.49
HeatPump-bc00-s1-057,0,2,11,672,0,0.38
HeatPump-bc00-s1-058,0,2,55,672,0,0.2
HeatPump-bc00-s1-059,0,2,25,672,0,0.12
HeatPump-bc00-s1-060,0,2,132,672,0,0.01
HeatPump-bc00-s1-061,0,1,86,672,0,0.21
HeatPump-bc00-s1-062,0,1,263,672,0,0.18
HeatPump-bc00-s1-063,0,2,323,672,0,0.09
HeatPump-bc00-s1-064,0,2,341,672,0,0.02
HeatPump-bc00-s1-065,0,1,403,672,0,0.14
HeatPump-bc00-s1-066,0,1,664,672,0,0.47
HeatPump-bc00-s1-067,0,2,44,672,0,0.03
HeatPump-bc00-s1-068,0,2,244,672,0,0.47
HeatPump-bc00-s1-069,0,1,387,672,0,0.28
HeatPump-bc00-s1-070,0,2,523,672,0,0.25
HeatPump-bc00-s1-071,0,1,663,672,0,0.13
HeatPump-bc00-s1-072,0,1,37,672,0,0.13
HeatPump-bc00-s1-073,0,2,471,672,0,0.03
HeatPump-bc00-s1-074,0,1,469,672,0,0.36
HeatPump-bc00-s1-075,0,1,278,672,0,0.03
HeatPump-bc00-s1-076,0,1,357,672,0,0.2
HeatPump-bc00-s1-077,0,2,58,672,0,0.12
HeatPump-bc00-s1-078,0,1,554,672,0,0.08
HeatPump-bc00-s1-079,0,2,656,672,0,0.12
HeatPump-bc00-s1-080,0,2,46,672,0,0.37
HeatPump-bc00-s1-081,0,1,159,672,0,0.14
HeatPump-bc00-s1-082,0,1,519,672,0,0.26
HeatPump-bc00-s1-083,0,2,496,672,0,0.31
HeatPump-bc00-s1-084,0,2,525,672,0,0.26
HeatPump-bc00-s1-085,0,2,616,672,0,0.42
HeatPump-bc00-s1-086,0,2,494,672,0,0.04
HeatPump-bc00-s1-087,0,2,294,672,0,0.14
HeatPump-bc00-s1-088,0,1,640,672,0,0.31
