id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final
HeatPump-bc01-s0-000,1,0,0,0,0,0.0
HeatPump-bc01-s1-034,1,2,52,672,0,0.39
HeatPump-bc01-s1-015,1,2,502,672,0,0.5
HeatPump-bc01-s1-047,1,1,221,672,0,0.02
HeatPump-bc01-s1-055,1,1,272,672,0,0.07
HeatPump-bc01-s1-051,1,1,33,672,0,0.15
HeatPump-bc01-s1-056,1,1,139,672,0,0.6
HeatPump-bc01-s1-049,1,2,58,672,0,0.15
HeatPump-bc01-s1-043,1,1,642,672,0,0.04
HeatPump-bc01-s1-023,1,2,288,672,0,0.55
HeatPump-bc01-s1-063,1,2,363,672,0,0.51
HeatPump-bc01-s1-088,1,1,471,672,0,0.19
HeatPump-bc01-s1-090,1,2,131,672,0,0.36
HeatPump-bc01-s1-097,1,1,584,672,0,0.15
HeatPump-bc01-s1-066,1,1,571,672,0,0.19
HeatPump-bc01-s1-099,1,2,210,672,0,0.62
HeatPump-bc01-s1-010,1,1,398,672,0,0.45
HeatPump-bc01-s1-054,1,2,527,672,0,0.14
HeatPump-bc01-s1-084,1,2,71,672,0,0.35
HeatPump-bc01-s1-096,1,1,524,672,0,0.39
HeatPump-bc01-s1-077,1,1,469,672,0,0.03
HeatPump-bc01-s1-091,1,1,202,672,0,0.39
HeatPump-bc01-s1-069,1,1,467,672,0,0.01
HeatPump-bc01-s1-037,1,2,83,672,0,0.07
HeatPump-bc01-s1-041,1,1,521,672,0,0.17
HeatPump-bc02-s0-000,2,0,0,0,0,0.0
HeatPump-bc02-s1-010,2,1,50,672,0,0.07
HeatPump-bc02-s1-041,2,1,79,672,0,0.01
HeatPump-bc02-s1-084,2,2,135,672,0,0.39
HeatPump-bc02-s1-037,2,2,223,672,0,0.31
HeatPump-bc02-s1-039,2,2,420,672,0,0.63
HeatPump-bc02-s1-057,2,1,402,672,0,0.07
HeatPump-bc02-s1-077,2,1,101,672,0,0.25
HeatPump-bc02-s1-091,2,2,96,672,0,0.01
HeatPump-bc02-s1-054,2,2,74,672,0,0.09
HeatPump-bc02-s1-021,2,2,359,672,0,0.41
HeatPump-bc02-s1-088,2,2,230,672,0,0.18
HeatPump-bc02-s1-056,2,1,70,672,0,0.47
HeatPump-bc02-s1-044,2,1,171,672,0,0.04
HeatPump-bc02-s1-094,2,1,671,672,0,0.16
HeatPump-bc02-s1-005,2,1,608,672,0,0.37
HeatPump-bc02-s1-045,2,1,333,672,0,0.42
HeatPump-bc02-s1-078,2,1,204,672,0,0.16
HeatPump-bc02-s1-055,2,2,536,672,0,0.32
HeatPump-bc02-s1-035,2,1,529,672,0,0.52
HeatPump-bc02-s1-007,2,1,496,672,0,0.07
HeatPump-bc02-s1-009,2,2,616,672,0,0.26
HeatPump-bc02-s1-051,2,1,415,672,0,0.01
HeatPump-bc02-s1-046,2,1,192,672,0,0.07
HeatPump-bc02-s1-065,2,1,468,672,0,0.09
HeatPump-bc03-s0-000,3,0,0,0,0,0.0
