id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final
Storage-bc00-s0-000,0,0,0,0,0,0.0
Storage-bc00-s1-000,0,2,151,672,0,0.19
Storage-bc00-s1-001,0,1,164,672,0,0.38
Storage-bc00-s1-002,0,2,589,672,0,0.02
Storage-bc00-s1-003,0,1,526,672,0,0.22
Storage-bc00-s1-004,0,1,508,672,0,0.1
Storage-bc00-s1-005,0,2,432,672,0,0.05
Storage-bc00-s1-006,0,1,379,672,0,0.57
Storage-bc00-s1-007,0,1,590,672,0,0.27
Storage-bc00-s1-008,0,2,641,672,0,0.19
Storage-bc00-s1-009,0,2,15,672,0,0.08
Storage-bc00-s1-010,0,2,112,672,0,0.12
Storage-bc00-s1-011,0,1,126,672,0,0.25
Storage-bc00-s1-012,0,2,188,672,0,0.09
Storage-bc00-s1-013,0,2,669,672,0,0.04
Storage-bc00-s1-014,0,1,430,672,0,0.35
Storage-bc00-s1-015,0,2,39,672,0,0.17
Storage-bc00-s1-016,0,1,476,672,0,0.02
Storage-bc00-s1-017,0,1,614,672,0,0.07
Storage-bc00-s1-018,0,1,577,672,0,0.26
Storage-bc00-s1-019,0,2,590,672,0,0.14
Storage-bc00-s1-020,0,1,305,672,0,0.11
Storage-bc00-s1-021,0,2,229,672,0,0.28
Storage-bc00-s1-022,0,2,421,672,0,0.18
Storage-bc00-s1-023,0,1,265,672,0,0.15
Storage-bc00-s1-024,0,1,136,672,0,0.33
Storage-bc00-s1-025,0,1,201,672,0,0.16
Storage-bc00-s1-026,0,1,20,672,0,0.55
Storage-bc00-s1-027,0,2,105,672,0,0.19
Storage-bc00-s1-028,0,2,18,672,0,0.16
Storage-bc00-s1-029,0,2,615,672,0,0.18
Storage-bc00-s1-030,0,2,328,672,0,0.11
Storage-bc00-s1-031,0,2,219,672,0,0.03
Storage-bc00-s1-032,0,2,56,672,0,0.35
Storage-bc00-s1-033,0,2,385,672,0,0.26
Storage-bc00-s1-034,0,1,277,672,0,0.09
Storage-bc00-s1-035,0,2,185,672,0,0.18
Storage-bc00-s1-036,0,1,332,672,0,0.5
Storage-bc00-s1-037,0,2,452,672,0,0.19
Storage-bc00-s1-038,0,2,251,672,0,0.59
Storage-bc00-s1-039,0,1,82,672,0,0.12
Storage-bc00-s1-040,0,2,488,672,0,0.11
Storage-bc00-s1-041,0,2,397,672,0,0.05
Storage-bc00-s1-042,0,2,515,672,0,0.42
Storage-bc00-s1-043,0,1,371,672,0,0.07
Storage-bc00-s1-044,0,1,460,672,0,0.3
Storage-bc00-s1-045,0,2,460,672,0,0.19
Storage-bc00-s1-046,0,1,110,672,0,0.18
Storage-bc00-s1-047,0,2,663,672,0,0.06
Storage-bc00-s1-048,0,2,106,672,0,0.03
Storage-bc00-s1-049,0,2,209,672,0,0.38
Storage-bc00-s1-050,0,2,247,672,0,0.36
Storage-bc00-s1-051,0,2,498,672,0,0.19
Storage-bc00-s1-052,0,2,329,672,0,0.05
Storage-bc00-s1-053,0,2,426,672,0,0.44
Storage-bc00-s1-054,0,2,22,672,0,0.42
Storage-bc00-s1-055,0,1,523,672,0,0.19
Storage-bc00-s1-056,0,2,461,672,0,0.14
Storage-bc00-s1-057,0,1,599,672,0,0.33
Storage-bc00-s1-058,0,1,364,672,0,0.08
Storage-bc00-s1-059,0,1,178,672,0,0.24
Storage-bc00-s1-060,0,2,224,672,0,0.12
Storage-bc00-s1-061,0,1,583,672,0,0.25
Storage-bc00-s1-062,0,1,592,672,0,0.57
Storage-bc00-s1-063,0,1,317,672,0,0.12
Storage-bc00-s1-064,0,1,645,672,0,0.51
Storage-bc00-s1-065,0,2,547,672,0,0.3
