id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final
Substation-bc00-s0-000,0,0,0,0,0,0.0
Substation-bc00-s1-000,0,1,151,672,0,0.19
Substation-bc00-s1-001,0,1,164,672,0,0.38
Substation-bc00-s1-002,0,1,589,672,0,0.02
Substation-bc00-s1-003,0,1,526,672,0,0.22
Substation-bc00-s1-004,0,1,508,672,0,0.1
Substation-bc00-s1-005,0,1,432,672,0,0.05
Substation-bc00-s1-006,0,1,379,672,0,0.57
Substation-bc00-s1-007,0,1,590,672,0,0.27
Substation-bc00-s1-008,0,1,641,672,0,0.19
Substation-bc00-s1-009,0,1,15,672,0,0.08
Substation-bc00-s1-010,0,1,112,672,0,0.12
Substation-bc00-s1-011,0,1,126,672,0,0.25
Substation-bc00-s1-012,0,1,188,672,0,0.09
Substation-bc00-s1-013,0,1,669,672,0,0.04
Substation-bc00-s1-014,0,1,430,672,0,0.35
Substation-bc00-s1-015,0,1,39,672,0,0.17
Substation-bc00-s1-016,0,1,476,672,0,0.02
Substation-bc00-s1-017,0,1,614,672,0,0.07
Substation-bc00-s1-018,0,1,577,672,0,0.26
Substation-bc00-s1-019,0,1,590,672,0,0.14
Substation-bc00-s1-020,0,1,305,672,0,0.11
Substation-bc00-s1-021,0,1,229,672,0,0.28
Substation-bc00-s1-022,0,1,421,672,0,0.18
Substation-bc00-s1-023,0,1,265,672,0,0.15
Substation-bc00-s1-024,0,1,136,672,0,0.33
Substation-bc00-s1-025,0,1,201,672,0,0.16
Substation-bc00-s1-026,0,1,20,672,0,0.55
Substation-bc00-s1-027,0,1,105,672,0,0.19
Substation-bc00-s1-028,0,1,18,672,0,0.16
Substation-bc00-s1-029,0,1,615,672,0,0.18
Substation-bc00-s1-030,0,1,328,672,0,0.11
Substation-bc00-s1-031,0,1,219,672,0,0.03
Substation-bc00-s1-032,0,1,56,672,0,0.35
Substation-bc00-s1-033,0,1,385,672,0,0.26
Substation-bc00-s1-034,0,1,277,672,0,0.09
Substation-bc00-s1-035,0,1,185,672,0,0.18
Substation-bc00-s1-036,0,1,332,672,0,0.5
Substation-bc00-s1-037,0,1,452,672,0,0.19
Substation-bc00-s1-038,0,1,251,672,0,0.59
Substation-bc00-s1-039,0,1,82,672,0,0.12
Substation-bc00-s1-040,0,1,488,672,0,0.11
Substation-bc00-s1-041,0,1,397,672,0,0.05
Substation-bc00-s1-042,0,1,515,672,0,0.42
Substation-bc00-s1-043,0,1,371,672,0,0.07
Substation-bc00-s1-044,0,1,460,672,0,0.3
Substation-bc00-s1-045,0,1,460,672,0,0.19
Substation-bc00-s1-046,0,1,110,672,0,0.18
Substation-bc00-s1-047,0,1,663,672,0,0.06
Substation-bc00-s1-048,0,1,106,672,0,0.03
Substation-bc00-s1-049,0,1,209,672,0,0.38
Substation-bc00-s1-050,0,1,247,672,0,0.36
Substation-bc00-s1-051,0,1,498,672,0,0.19
Substation-bc00-s1-052,0,1,329,672,0,0.05
Substation-bc00-s1-053,0,1,426,672,0,0.44
Substation-bc00-s1-054,0,1,22,672,0,0.42
Substation-bc00-s1-055,0,1,523,672,0,0.19
Substation-bc00-s1-056,0,1,461,672,0,0.14
Substation-bc00-s1-057,0,1,599,672,0,0.33
Substation-bc00-s1-058,0,1,364,672,0,0.08
Substation-bc00-s1-059,0,1,178,672,0,0.24
Substation-bc00-s1-060,0,1,224,672,0,0.12
Substation-bc00-s1-061,0,1,583,672,0,0.25
Substation-bc00-s1-062,0,1,592,672,0,0.57
Substation-bc00-s1-063,0,1,317,672,0,0.12
Substation-bc00-s1-064,0,1,645,672,0,0.51
Substation-bc00-s1-065,0,1,547,672,0,0.3
Substation-bc00-s1-066,0,1,478,672,0,0.23
Substation-bc00-s1-067,0,1,479,672,0,0.05
Substation-bc00-s1-068,0,1,408,672,0,0.19
Substation-bc00-s1-069,0,1,528,672,0,0.29
Substation-bc00-s1-070,0,1,488,672,0,0.07
Substation-bc00-s1-071,0,1,266,672,0,0.28
Substation-bc00-s1-072,0,1,343,672,0,0.17
Substation-bc00-s1-073,0,1,537,672,0,0.23
Substation-bc00-s1-074,0,1,204,672,0,0.4
Substation-bc00-s1-075,0,1,140,672,0,0.09
Substation-bc00-s1-076,0,1,387,672,0,0.15
Substation-bc00-s1-077,0,1,379,672,0,0.3
Substation-bc00-s1-078,0,1,85,672,0,0.28
Substation-bc00-s1-079,0,1,613,672,0,0.05
Substation-bc00-s1-080,0,1,442,672,0,0.33
Substation-bc00-s1-081,0,1,401,672,0,0.04
Substation-bc00-s1-082,0,1,282,672,0,0.3
Substation-bc00-s1-083,0,1,658,672,0,0.06
Substation-bc00-s1-084,0,1,98,672,0,0.21
Substation-bc00-s1-085,0,1,308,672,0,0.21
Substation-bc00-s1-086,0,1,459,672,0,0.49
Substation-bc00-s1-087,0,1,578,672,0,0.27
