id,bc,f1_type,f1_start,f1_stop,f1_init,f1_final
Substation-bc1-s0-000,1,0,0,0,0,0.0
Substation-bc1-s1-085,1,1,77,672,0,0.48
Substation-bc1-s1-074,1,1,62,672,0,0.87
Substation-bc1-s1-089,1,1,112,672,0,0.01
Substation-bc1-s1-044,1,1,46,672,0,0.02
Substation-bc1-s1-042,1,1,23,672,0,0.13
Substation-bc1-s1-005,1,1,127,672,0,0.23
Substation-bc1-s1-065,1,1,255,672,0,0.35
Substation-bc1-s1-014,1,1,317,672,0,0.13
Substation-bc1-s1-083,1,1,323,672,0,0.01
Substation-bc1-s1-057,1,1,255,672,0,0.29
Substation-bc1-s1-002,1,1,304,672,0,0.4
Substation-bc1-s1-051,1,1,203,672,0,0.28
Substation-bc1-s1-077,1,1,432,672,0,0.15
Substation-bc1-s1-078,1,1,445,672,0,0.28
Substation-bc1-s1-091,1,1,486,672,0,0.13
Substation-bc1-s1-026,1,1,497,672,0,0.06
Substation-bc1-s1-011,1,1,365,672,0,0.15
Substation-bc1-s1-066,1,1,457,672,0,0.69
Substation-bc1-s1-096,1,1,581,672,0,0.44
Substation-bc1-s1-020,1,1,522,672,0,0.45
Substation-bc1-s1-006,1,1,630,672,0,0.38
Substation-bc1-s1-055,1,1,661,672,0,0.36
Substation-bc1-s1-017,1,1,650,672,0,0.17
Substation-bc1-s1-032,1,1,623,672,0,0.84
Substation-bc2-s0-000,2,0,0,0,0,0.0
Substation-bc2-s1-041,2,1,20,672,0,0.34
Substation-bc2-s1-058,2,1,155,672,0,0.82
Substation-bc2-s1-004,2,1,104,672,0,0.24
Substation-bc2-s1-018,2,1,12,672,0,0.0
Substation-bc2-s1-033,2,1,44,672,0,0.14
Substation-bc2-s1-090,2,1,144,672,0,0.45
Substation-bc2-s1-096,2,1,213,672,0,0.21
Substation-bc2-s1-081,2,1,182,672,0,0.28
Substation-bc2-s1-007,2,1,239,672,0,0.3
Substation-bc2-s1-080,2,1,295,672,0,0.14
Substation-bc2-s1-051,2,1,290,672,0,0.04
Substation-bc2-s1-012,2,1,247,672,0,0.34
Substation-bc2-s1-014,2,1,408,672,0,0.43
Substation-bc2-s1-005,2,1,393,672,0,0.27
Substation-bc2-s1-068,2,1,340,672,0,0.04
Substation-bc2-s1-079,2,1,408,672,0,0.27
Substation-bc2-s1-011,2,1,451,672,0,0.04
Substation-bc2-s1-065,2,1,368,672,0,0.11
Substation-bc2-s1-083,2,1,553,672,0,0.47
Substation-bc2-s1-045,2,1,579,672,0,0.45
Substation-bc2-s1-008,2,1,635,672,0,0.47
Substation-bc2-s1-085,2,1,645,672,0,0.31
Substation-bc2-s1-082,2,1,579,672,0,0.04
Substation-bc2-s1-010,2,1,519,672,0,0.63
Substation-bc3-s0-000,3,0,0,0,0,0.0
Substation-bc3-s1-064,3,1,20,672,0,0.21
Substation-bc3-s1-067,3,1,82,672,0,0.41
Substation-bc3-s1-077,3,1,83,672,0,0.41
Substation-bc3-s1-063,3,1,107,672,0,0.0
Substation-bc3-s1-029,3,1,165,672,0,0.09
Substation-bc3-s1-038,3,1,136,672,0,0.08
Substation-bc3-s1-010,3,1,202,672,0,0.26
Substation-bc3-s1-088,3,1,226,672,0,0.07
Substation-bc3-s1-054,3,1,292,672,0,0.07
Substation-bc3-s1-042,3,1,302,672,0,0.64
Substation-bc3-s1-020,3,1,289,672,0,0.18
Substation-bc3-s1-004,3,1,329,672,0,0.18
Substation-bc3-s1-040,3,1,493,672,0,0.15
Substation-bc3-s1-070,3,1,484,672,0,0.13
Substation-bc3-s1-002,3,1,383,672,0,0.34
Substation-bc3-s1-082,3,1,423,672,0,0.4
Substation-bc3-s1-034,3,1,472,672,0,0.19
Substation-bc3-s1-036,3,1,438,672,0,0.07
Substation-bc3-s1-086,3,1,588,672,0,0.26
Substation-bc3-s1-037,3,1,573,672,0,0.21
Substation-bc3-s1-097,3,1,613,672,0,0.08
Substation-bc3-s1-050,3,1,598,672,0,0.07
Substation-bc3-s1-095,3,1,609,672,0,0.06
Substation-bc3-s1-089,3,1,622,672,0,0.46
Substation-bc4-s0-000,4,0,0,0,0,0.0
Substation-bc4-s1-033,4,1,103,672,0,0.16
Substation-bc4-s1-014,4,1,24,672,0,0.05
Substation-bc4-s1-047,4,1,154,672,0,0.25
Substation-bc4-s1-076,4,1,59,672,0,0.07
Substation-bc4-s1-046,4,1,68,672,0,0.17
Substation-bc4-s1-000,4,1,124,672,0,0.2
Substation-bc4-s1-028,4,1,209,672,0,0.13
Substation-bc4-s1-092,4,1,175,672,0,0.01
Substation-bc4-s1-069,4,1,312,672,0,0.11
Substation-bc4-s1-097,4,1,289,672,0,0.03
Substation-bc4-s1-018,4,1,184,672,0,0.18
Substation-bc4-s1-034,4,1,335,672,0,0.53
Substation-bc4-s1-058,4,1,487,672,0,0.02
Substation-bc4-s1-086,4,1,379,672,0,0.12
Substation-bc4-s1-006,4,1,351,672,0,0.15
Substation-bc4-s1-089,4,1,476,672,0,0.44
Substation-bc4-s1-059,4,1,448,672,0,0.09
Substation-bc4-s1-008,4,1,481,672,0,0.26
Substation-bc4-s1-041,4,1,531,672,0,0.16
Substation-bc4-s1-026,4,1,583,672,0,0.25
Substation-bc4-s1-021,4,1,594,672,0,0.04
Substation-bc4-s1-010,4,1,609,672,0,0.43
Substation-bc4-s1-080,4,1,601,672,0,0.37
Substation-bc4-s1-096,4,1,655,672,0,0.07
