id,bc,eta_f_type,eta_f_start,eta_f_stop,eta_f_init,eta_f_final,G_f_type,G_f_start,G_f_stop,G_f_init,G_f_final
BoilerVarSize3-bc01-s0-000,1,0,0,0,0,0.0,0,0,0,0,0
BoilerVarSize3-bc01-s1-083,1,1,8,672,0,0.15,0,0,0,0,0
BoilerVarSize3-bc01-s1-052,1,2,93,672,0,0.29,0,0,0,0,0
BoilerVarSize3-bc01-s1-008,1,2,167,672,0,0.38,0,0,0,0,0
BoilerVarSize3-bc01-s1-017,1,1,13,672,0,0.17,0,0,0,0,0
BoilerVarSize3-bc01-s1-058,1,2,73,672,0,0.15,0,0,0,0,0
BoilerVarSize3-bc01-s1-061,1,2,156,672,0,0.18,0,0,0,0,0
BoilerVarSize3-bc01-s1-007,1,2,304,672,0,0.11,0,0,0,0,0
BoilerVarSize3-bc01-s1-088,1,2,331,672,0,0.6,0,0,0,0,0
BoilerVarSize3-bc01-s1-099,1,1,226,672,0,0.19,0,0,0,0,0
BoilerVarSize3-bc01-s1-015,1,1,244,672,0,0.2,0,0,0,0,0
BoilerVarSize3-bc01-s1-057,1,2,173,672,0,0.08,0,0,0,0,0
BoilerVarSize3-bc01-s1-011,1,1,285,672,0,0.35,0,0,0,0,0
BoilerVarSize3-bc01-s1-096,1,1,495,672,0,0.07,0,0,0,0,0
BoilerVarSize3-bc01-s1-073,1,2,411,672,0,0.27,0,0,0,0,0
BoilerVarSize3-bc01-s1-009,1,2,422,672,0,0.1,0,0,0,0,0
BoilerVarSize3-bc01-s1-044,1,1,395,672,0,0.04,0,0,0,0,0
BoilerVarSize3-bc01-s1-035,1,2,380,672,0,0.29,0,0,0,0,0
BoilerVarSize3-bc01-s1-028,1,2,413,672,0,0.1,0,0,0,0,0
BoilerVarSize3-bc01-s1-024,1,1,534,672,0,0.31,0,0,0,0,0
BoilerVarSize3-bc01-s1-056,1,1,605,672,0,0.3,0,0,0,0,0
BoilerVarSize3-bc01-s1-029,1,1,564,672,0,0.01,0,0,0,0,0
BoilerVarSize3-bc01-s1-019,1,1,595,672,0,0.14,0,0,0,0,0
